#  Space group look-up table taken from R. Grosse Kunstleve web-site
#  Modified LJF - Jan 1998
#
# No.   Schoenflies <------ Hermann-Mauguin -----> Hall           Mult
#    set
  41        C2v^17  Aba2                A b a 2     A 2 -2ac        8
  41:ba-c   C2v^17  Bba2                B b a 2     B 2 -2bc        8
  41:cab    C2v^17  B2cb                B 2 c b     B -2bc 2        8
  41:-cba   C2v^17  C2cb                C 2 c b     C -2bc 2        8
  41:bca    C2v^17  Cc2a                C c 2 a     C -2bc -2bc     8
  41:a-cb   C2v^17  Ac2a                A c 2 a     A -2ac -2ac     8
  42        C2v^18  Fmm2                F m m 2     F 2 -2          16
  42:cab    C2v^18  F2mm                F 2 m m     F -2 2          16
  42:bca    C2v^18  Fm2m                F m 2 m     F -2 -2         16
  43        C2v^19  Fdd2                F d d 2     F 2 -2d         16
  43:cab    C2v^19  F2dd                F 2 d d     F -2d 2         16
  43:bca    C2v^19  Fd2d                F d 2 d     F -2d -2d       16
  44        C2v^20  Imm2                I m m 2     I 2 -2          8
  44:cab    C2v^20  I2mm                I 2 m m     I -2 2          8
  44:bca    C2v^20  Im2m                I m 2 m     I -2 -2         8
  45        C2v^21  Iba2                I b a 2     I 2 -2c         8
  45:cab    C2v^21  I2cb                I 2 c b     I -2a 2         8
  45:bca    C2v^21  Ic2a                I c 2 a     I -2b -2b       8
  46        C2v^22  Ima2                I m a 2     I 2 -2a         8
  46:ba-c   C2v^22  Ibm2                I b m 2     I 2 -2b         8
  46:cab    C2v^22  I2mb                I 2 m b     I -2b 2         8
  46:-cba   C2v^22  I2cm                I 2 c m     I -2c 2         8
  46:bca    C2v^22  Ic2m                I c 2 m     I -2c -2c       8
  46:a-cb   C2v^22  Im2a                I m 2 a     I -2a -2a       8
  47        D2h^1   Pmmm                P m m m    -P 2 2           8
  48:1      D2h^2   Pnnn:1              P n n n     P 2 2 -1n       8
  48:2      D2h^2   Pnnn:2              P n n n    -P 2ab 2bc       8
  49        D2h^3   Pccm                P c c m    -P 2 2c          8
  49:cab    D2h^3   Pmaa                P m a a    -P 2a 2          8
  49:bca    D2h^3   Pbmb                P b m b    -P 2b 2b         8
  50:1      D2h^4   Pban:1              P b a n     P 2 2 -1ab      8
  50:2      D2h^4   Pban:2              P b a n    -P 2ab 2b        8
  50:1cab   D2h^4   Pncb:1              P n c b     P 2 2 -1bc      8
  50:2cab   D2h^4   Pncb:2              P n c b    -P 2b 2bc        8
  50:1bca   D2h^4   Pcna:1              P c n a     P 2 2 -1ac      8
  50:2bca   D2h^4   Pcna:2              P c n a    -P 2a 2c         8
  51        D2h^5   Pmma                P m m a    -P 2a 2a         8
  51:ba-c   D2h^5   Pmmb                P m m b    -P 2b 2          8
  51:cab    D2h^5   Pbmm                P b m m    -P 2 2b          8
